Year,TempAnomaly_C,CO2_ppm_mean,merra2_TOTEXTTAU
2003,0.6166666666666667,,
2004,0.5333333333333333,,
2005,0.6791666666666667,,
2006,0.64,,
2007,0.6649999999999999,,
2008,0.5433333333333333,,
2009,0.6566666666666666,,
2010,0.725,,
2011,0.61,,
2012,0.6458333333333334,,
2013,0.6766666666666666,,
2014,0.7491666666666666,,0.11415765744944407
2015,0.8975,398.4673990589333,0.12115779891610141
2016,1.0125,401.61673783199166,0.11363981043299036
2017,0.9141666666666667,403.89858763665,0.11641381494700904
2018,0.85,406.188272178925,0.11858802847564216
2019,0.9791666666666666,408.72877431816664,0.1213295230021079
2020,1.0075,411.25547557044166,0.12220239763458567
2021,0.8466666666666667,413.5957462786583,0.12174778059124942
2022,0.8908333333333333,415.9950840959,0.11933917303880053
2023,1.1708333333333334,,0.12384663584331666
2024,1.2858333333333334,,
