Condition,mean_reward,ci_lo,ci_hi
PPO (trained),-42.95866252596745,-44.689358214158524,-41.15094413215825
Never irrigate,-277.03984701436644,-282.12045247430626,-272.8072472830409
Always light,-240.67701486141243,-240.7855770842541,-240.4668368645929
Always heavy,-249.3355688463275,-249.3382547838275,-249.33257091308892
